eta,candidate_valid,blocked_predictive_neg_loglik,blocked_predictive_effective_n_median,blocked_predictive_min_training_weight_sum,min_weight,max_weight,max_row_sum_error,max_column_sum_error,symmetry_error,mean_C_relative_error,effective_n_min,effective_n_median,effective_n_max,diagonal_weight_median,grid_extension_round
4.156385439467579e-11,False,136.8688298533024,362.99999999987745,0.9680038911321387,0.0026666749519131056,0.002666682724351758,4.081112845888413e-06,4.081112846332502e-06,0.0,4.081112495015722e-06,374.9969391838185,374.9969391843431,374.99693918459707,0.002666679827846784,2
9.81158469677862e-11,False,136.8688330779505,362.999999999317,0.9680008376995644,0.002666663228376636,0.0026666815760208683,1.0102117018462309e-06,1.0102117025123647e-06,0.0,1.0102112190898435e-06,374.99924234078526,374.99924234196294,374.9992423425464,0.0026666747385257327,2
1.602366757671801e-10,False,136.86883662017976,362.99999999817874,0.9679994813155528,0.0026666558537802383,0.002666685817983285,2.993220908908967e-07,2.993220912239636e-07,0.0,2.993219127927402e-07,375.0002244871273,375.0002244894976,375.0002244912105,0.002666674651423958,1
2.3161276947017585e-10,False,136.8688406902107,362.99999999619473,0.9679988737596819,0.00266665000006212,0.002666693311532612,8.216117423076597e-07,8.216117427517489e-07,0.0,8.216116583780343e-07,375.00061620058824,375.0006162053244,375.0006162089341,0.002666677170934317,2
3.616182987027312e-10,False,136.8688481035471,362.9999999907242,0.967999466060993,0.0026666440182357178,0.002666711640570507,1.784326664200364e-08,1.784326708609285e-08,0.0,1.7843138879512423e-08,375.00001336082823,375.0000133721578,375.00001338097877,0.0026666864401949817,1
5.467462865530562e-10,False,136.8688586604816,362.99999997879564,0.9679993347598479,0.002666632814938309,0.0026667350558381288,1.1976201674812614e-07,1.1976201674812614e-07,0.0,1.1976169674102846e-07,374.99991012924227,374.99991015540525,374.9999101756956,0.0026666969543650033,2
8.160915304225364e-10,False,136.8688740205993,362.9999999527579,0.9679986974040999,0.0026666152856840214,0.0026667678933378096,1.411154821884253e-07,1.411154825214922e-07,0.0,1.4111530291611464e-07,375.00010572661176,375.00010578450497,375.00010582956355,0.0026667110219597426,1
1.2906520764954976e-09,False,136.86890108558023,362.9999998818419,0.967998192907785,0.002666586104920798,0.0026668274532002227,3.8147965453205757e-08,3.814796567525036e-08,0.0,3.8147705944019266e-08,374.999971114527,374.99997125902496,374.9999713720135,0.0026667375112621777,2
1.8417358535688633e-09,False,136.86893251793433,362.9999997594013,0.9679974719157618,0.0026665518469947656,0.002666896244147768,1.066961590190374e-07,1.0669615968517121e-07,0.0,1.0669589093649869e-07,374.99991941894706,374.9999197129323,374.99991994309505,0.002666767899346221,1
3.0467198836667344e-09,False,136.8690012587303,362.9999993416003,0.9679956833718575,0.002666476357538844,0.0026670460737620483,3.749753241244491e-08,3.749753241244491e-08,0.0,3.749749852632302e-08,374.9999703473313,374.999971151028,374.99997178124755,0.0026668337596625893,2
4.156385439467579e-09,True,136.86906457607793,362.99999877469764,0.967994057452654,0.0026664069003489352,0.0026671841064703824,4.420618537892551e-09,4.420618759937156e-09,0.0,4.420474280152682e-09,375.0000004686791,375.00000196457665,375.0000031373593,0.002666894466917955,1
7.018344303933221e-09,False,136.86922794175314,362.9999965066078,0.967989996529995,0.002666228138300415,0.002667540460466087,2.4199241721589715e-08,2.4199242609768135e-08,0.0,2.419914032130744e-08,374.9999737348401,374.99997799944344,374.9999813433329,0.0026670513964154193,0
7.192102518236318e-09,True,136.8692378631004,362.99999633150674,0.9679897317975193,0.0026662172355475765,0.0026675620450748337,7.146826463966249e-09,7.146826908055459e-09,0.0,7.146654814925515e-09,374.9999861173608,374.9999905957716,374.9999941072303,0.0026670608736815596,2
9.380031282956268e-09,False,136.86936281916257,362.9999937603689,0.9679865872383949,0.0026660804757336677,0.002667834348284569,1.2507372804115846e-08,1.2507372582071241e-08,0.0,1.2507296293330263e-08,374.9999948846703,375.00000250172184,375.0000084742278,0.002667180726835008,1
1.6023667576717978e-08,True,136.86974257150732,362.9999817947652,0.9679771000226769,0.002665665431676994,0.0026686612934802203,9.787960331131274e-09,9.787960109086669e-09,0.0,9.787812526851755e-09,374.99996504692416,374.99998727095135,375.00000469637064,0.002667544794202838,0
1.6977713937576904e-08,True,136.86979714507927,362.9999795628819,0.9679757489495355,0.002665605868421217,0.0026687800677373786,2.1916881642880526e-09,2.1916881642880526e-09,0.0,2.1916679890146638e-09,374.9999508773125,374.9999758258345,374.99999538756396,0.002667597102258872,2
2.116863032811241e-08,True,136.8700369937899,362.99996823143437,0.9679697575712053,0.0026653440859634257,0.002669301635516872,3.771969736554581e-09,3.7719705137106985e-09,0.0,3.771850324181609e-09,374.9999290248797,374.99996780657074,374.99999821378316,0.002667826711860276,1
3.6583831098920314e-08,True,136.8709208809797,362.9999051560403,0.9679477495193476,0.0026643815666379652,0.0026712198038177123,5.803793001746271e-10,5.80379744263837e-10,0.0,5.802629774815403e-10,374.9997792250863,374.99989500821846,374.99998578236887,0.0026686711735302033,0
4.007767823321806e-08,True,136.87112157741328,362.99988618606386,0.967942764757239,0.00266416348646611,0.002671654485016596,4.072619130823796e-09,4.072619574913006e-09,0.0,4.072568020981592e-09,374.99973253504896,374.99987147683026,374.99998040528783,0.002668862540315929,2
4.7772858794459275e-08,True,136.87156408416985,362.99983831766934,0.9679317714252085,0.00266368321107888,0.0026726117243752578,4.376608520040293e-09,4.376609519241015e-09,0.0,4.376565517575587e-09,374.99962766430275,374.99982504460314,374.99997978185735,0.0026692839338496336,1
8.35249914831585e-08,True,136.87362852489338,362.9995062425036,0.967880761270521,0.002661453540223821,0.002677057402667168,1.3980829827175967e-09,1.3980834268068065e-09,0.0,1.3980394476106992e-09,374.99885185351854,374.9994546532836,374.9999271316009,0.0026712410042675347,0
9.460757193053543e-08,True,136.87427131541492,362.9993667099724,0.967864952454335,0.0026607628985742602,0.0026784348739659868,6.917222350466545e-10,6.917222350466545e-10,0.0,6.91627063902869e-10,374.9985292557334,374.99930241256055,374.99990838227353,0.0026718473662283274,2
1.0781264550519676e-07,True,136.8750389667991,362.9991778796442,0.9678461238335898,0.0026599403246154443,0.0026800757881063697,2.868112414233792e-10,2.8681168551258907e-10,0.0,2.866692189680688e-10,374.9980898260246,374.99909353294197,374.9998801438385,0.00267256968790193,1
1.9069692792419416e-07,True,136.87990074742896,362.9974336766234,0.9677280466125029,0.002654785375276137,0.0026903660107998367,5.502922562072854e-10,5.502930333634026e-10,0.0,5.502306929840593e-10,374.9940382292717,374.9971716776319,374.9996263130248,0.0026770990608362137,0
2.2333111749903735e-07,True,136.88183547648921,362.9964832641279,0.9676816087587639,0.002652759543968236,0.0026944132142636195,4.5978176821392935e-10,4.5978143514702197e-10,0.0,4.597236649281962e-10,374.99183009314794,374.9961241306712,374.9994873612755,0.002678880339534247,2
2.4330900063651477e-07,True,136.8830255610753,362.9958282013987,0.9676531961616196,0.0026515204476358937,0.0026968895986853878,5.765652399958299e-10,5.765656840850397e-10,0.0,5.764802290747725e-10,374.990307421122,374.99540141430214,374.99939078386006,0.002679970219886712,1
4.353824846190831e-07,True,136.8946861805089,362.986710875203,0.9673805827845727,0.002639648577109489,0.0027206511300229283,2.5995738894835085e-10,2.599574999706533e-10,0.0,2.5989208782902175e-10,374.9691258163268,374.9853554885079,374.9980533595035,0.002690426267371109,0
5.271965766121798e-07,True,136.9003988347463,362.9805632828053,0.9672506298013445,0.002633999895646052,0.0027319794539241646,3.9768188742073107e-13,3.9834802123550617e-13,0.0,2.085660890548276e-13,374.95484303651386,374.97858239185865,374.9971472418838,0.0026954101677238848,2
5.490939352553608e-07,True,136.90177440894027,362.9789275877002,0.967219670695803,0.002632655200559832,0.0027346783622642337,8.557932140718094e-11,8.557954345178587e-11,0.0,8.546808672917405e-11,374.9510428204593,374.97678039322915,374.9969057299173,0.0026965974557265023,1
9.94027066804342e-07,True,136.93080099233896,362.9317661286308,0.9665934441600503,0.0026055388667851564,0.00278928077333058,7.788658606955323e-11,7.788703015876308e-11,0.0,7.783377873353671e-11,374.84148265821545,374.92484401654934,374.9898899899684,0.0027206097581083544,0
1.239182064557664e-06,True,136.94765217752888,362.8946584792111,0.9662506849393677,0.0025907644676223963,0.002819175255261742,3.0029312370061234e-11,3.0029312370061234e-11,0.0,2.9860772104661057e-11,374.75529248343764,374.88399761157564,374.98431400186865,0.002733749843068847,1
1.2445029313606533e-06,True,136.94802453225526,362.8937671541208,0.9662432634684945,0.002590445100976163,0.0028198225963752977,1.3761103367926353e-11,1.3761325412531278e-11,0.0,1.3700659709481095e-11,374.7532224046904,374.88301667931665,374.9841796054249,0.002734034330239515,2
2.269475333634809e-06,True,137.02479733826775,362.6563567501308,0.9648275655235674,0.002529934637652077,0.002943359428101639,8.262013295734505e-11,8.262079909115982e-11,0.0,8.257865720936064e-11,374.20215818955734,374.62193187716883,374.9477514574939,0.0027882858275847444,0
2.796556455148723e-06,True,137.06800881880088,362.4855605686705,0.9641101183865126,0.002499582735944776,0.0030060046319288296,5.331080021875323e-11,5.331135533026554e-11,0.0,5.3212376766029216e-11,373.8061427633361,374.4342950858542,374.9209465937093,0.0028157668908130786,1
2.9377799759587332e-06,True,137.07999616019563,362.4344468685526,0.9639190810964295,0.0024915365194876546,0.003022689895745217,7.255651635063032e-11,7.255673839523524e-11,0.0,7.244236973995901e-11,373.6877005688795,374.3781668018505,374.91284420299354,0.002823082989867654,2
5.181466845299317e-06,True,137.29181579051453,361.34361430003713,0.9609491122458211,0.002368388320094908,0.0032823349570466295,1.0886069823357047e-11,1.088662493486936e-11,0.0,1.0835970469665576e-11,371.1682154529263,373.1824227028517,374.7329882353975,0.0029367510661581597,0
6.3112017438903535e-06,True,137.41226769961327,360.6156892661558,0.9594980782986509,0.002309558342131276,0.0034093612763645468,1.4652723479002816e-12,1.4650503032953566e-12,0.0,1.4320529224191361e-12,369.49584638016285,372.386253197166,374.6069130318565,0.00299223911490073,1
6.9349384156998716e-06,True,137.4823128026522,360.1685793667489,0.9587090745160806,0.002277940165662971,0.0034784805254586566,2.5304647266466418e-11,2.5304869311071343e-11,0.0,2.5160198492992712e-11,368.47220228303496,371.897801789114,374.5274053684523,0.0030223988907352867,2
1.1829870222002673e-05,True,138.10573304459948,355.7569730831675,0.952794036979156,0.002049300594244012,0.003997775629100467,6.715628053655109e-12,6.715961120562497e-12,0.0,6.652013499101192e-12,358.51697505516444,367.0967756671255,373.670676982037,0.003248265072805435,0
1.4242969198333762e-05,True,138.45249264902102,352.8383592628736,0.9500430465643859,0.0019480561429681162,0.0042399884327562875,4.356737193234039e-12,4.357181282443889e-12,0.0,4.258558305449631e-12,352.7221306310789,364.25584638633654,373.10533374268897,0.003353194210381284,1
1.63706510436864e-05,True,138.77530206276293,350.2868342040108,0.947698741539475,0.001864349276994264,0.004446757577581014,2.247757535656092e-12,2.247979580261017e-12,0.0,2.1693518360546643e-12,347.3220971550694,361.57559191401464,372.5342096287857,0.0034425682896863773,2
2.700892115065567e-05,True,140.5603783777939,336.3214516030988,0.9369562896048904,0.0015111234245649176,0.005398759162468919,2.113198505071523e-12,2.112976460466598e-12,0.0,2.083658818309851e-12,319.0539897046896,346.98238082231313,368.7785209707702,0.0038519142988089096,0
3.214319234543048e-05,True,141.490373856889,329.42085491603325,0.9322625513383824,0.0013723567092416137,0.005817179090957549,4.20230517050868e-12,4.2026382374160676e-12,0.0,4.101884315901803e-12,305.83568563526666,339.80760357371196,366.5085690251897,0.00403086988112097,1
3.8644642465380034e-05,True,142.70616383158293,320.90811761780543,0.9266930461854128,0.0012197773684233843,0.0063157287950738284,5.617506459998367e-12,5.617950549208217e-12,0.0,5.551242704603031e-12,290.15233844083065,330.9789663407758,363.29074151296555,0.0042435013147122235,2
6.166439766731791e-05,True,147.16597163499037,294.4198482737687,0.9095478394721315,0.0008286457751685893,0.007865496195593645,2.0887735985297695e-12,2.0892176877396196e-12,0.0,2.044805824300423e-12,245.2874793353857,303.6204844561252,349.7693462660409,0.0049021073270118865,0
7.253998795954789e-05,True,149.29087793987995,284.02230164425015,0.9025001891973079,0.0006997920436130275,0.008509548420679948,2.7133850721838826e-13,2.7200464103316335e-13,0.0,2.5099646893898313e-13,229.1134206427313,292.9044925032388,342.7071097073897,0.0051756570666906185,1
9.122474037787341e-05,True,152.9040909441639,268.8488114379078,0.8915326371900365,0.0005320187183193333,0.009520466491235797,1.871391930308164e-12,1.872502153332789e-12,0.0,1.8627470390771247e-12,206.78247021821895,277.2620520652595,330.2333493742583,0.005606102278133363,2
0.00014078673925784722,True,162.05410627344162,240.01507052426257,0.8672495972807474,0.0002773267127961118,0.011798414682995124,5.24913446042774e-13,5.253575352526241e-13,0.0,4.769974816614094e-13,168.10634906414415,247.41531897560748,298.3023531761284,0.006586832576902425,0
0.00016370651043686433,True,166.03413749790494,230.2659274087632,0.8576486088971707,0.00021103354244679602,0.012714933276884482,5.362377208939506e-13,5.366818101038007e-13,0.0,5.054219544124814e-13,156.09192248761795,237.25321732412036,284.95826743778304,0.00698758336638127,1
0.0002153455880583101,True,174.41982652934828,213.0540546543835,0.8385330138288847,0.0001195961511776151,0.014567867561546068,7.736034035588091e-13,7.744915819785092e-13,0.0,7.379442041367253e-13,136.23872638988564,219.18720360794856,258.7555513294599,0.007811083001654081,2
0.00032143192345430413,True,189.41239071464003,188.79828849436322,0.8064283967455714,4.3130526923841625e-05,0.01776857887429328,2.02171612784241e-13,2.0261570199409107e-13,0.0,1.8023443539355013e-13,111.5539074607181,193.5278386453384,219.02130373259754,0.00927797770517073,0
0.0003694489386234818,True,195.37094928292913,180.33265892187808,0.7940177792393069,2.8479113156971853e-05,0.01903723882304561,5.596634267135414e-13,5.595524044110789e-13,0.0,5.288704781145293e-13,104.0556079418313,184.72850180629544,205.59218354134754,0.009874375131925272,1
0.0005083458950290128,True,210.38418064295428,161.0605177608796,0.7629577443146979,9.600147112461274e-06,0.022293789068576656,2.5757174171303632e-14,2.609024107869118e-14,0.0,1.5056795058648136e-14,88.71094893523937,164.71622443262095,176.6882034278116,0.011438919790199481,2
0.0007338651492333275,True,229.8098922521023,139.6273112171,0.7224772058684497,2.099581123667128e-06,0.026725497976291417,1.8895995879120164e-13,1.894040480010517e-13,0.0,1.7720809141300204e-13,73.83489667936502,142.20087412167504,147.51517647193867,0.013629190745999218,0
0.0008337635313694975,True,237.08559746230398,132.1869257349598,0.7071676382944181,1.145964124406162e-06,0.02846109120835627,2.1094237467877974e-13,2.1160850849355484e-13,0.0,2.0070898843027833e-13,69.2713733560856,134.62134092328344,138.44891494360178,0.014501217089890833,1
0.0012000039161372362,True,259.5176495301867,111.37788248549299,0.6598966215722786,1.582371642629403e-07,0.03404626650640122,1.609823385706477e-13,1.6120438317557273e-13,0.0,1.491513210929306e-13,57.74359231405371,114.14070567950365,115.44518558459598,0.017344566310212216,2
0.0016754964829615508,True,282.95207984994323,93.79544527290003,0.6119163663901984,1.7673389623691274e-08,0.04010365262705405,4.374278717023117e-14,4.39648317751562e-14,0.0,2.842951618153967e-14,48.870769094112504,97.30154266984646,97.69994191615628,0.020471832295020424,0
0.0018816176027783825,True,291.96825872041927,88.71945641461399,0.5942289506076099,7.489524744154392e-09,0.042447008889517863,7.771561172376096e-14,7.771561172376096e-14,0.0,5.510759462522035e-14,46.11757205801114,91.94044862710905,92.19152248254248,0.02169021872493506,1
0.0028327353733475515,True,328.3874597598859,71.24673978540505,0.5280279763753652,2.2925345456780407e-10,0.05182592256056686,6.006306563222097e-14,6.050715484207103e-14,0.0,5.035297453843868e-14,37.59072643931568,75.08913394769333,75.12827911925439,0.026603573422624704,2
0.0038253464786402788,True,360.4465145547677,60.89026983913981,0.47612522651730343,1.0504132947144035e-11,0.05996627954400289,4.263256414560601e-14,4.363176486776865e-14,0.0,2.9577132216252514e-14,32.35207745433663,64.63468671485917,64.6423938190536,0.030910209817657613,0
0.0042463896175334685,True,372.7785615775172,58.12715296504135,0.45756622845977285,3.1948955253963995e-12,0.06307571295608366,2.120525977034049e-14,2.142730437526552e-14,0.0,1.1594357979605029e-14,30.707925384727417,61.346659545168144,61.35078992202921,0.0325650496162854,1
0.006686969590269875,True,435.04553265325626,45.429362204799325,0.3749309089716701,7.94298567551769e-15,0.0784987321887979,2.653433028854124e-14,2.6978419498391304e-14,0.0,2.0924479029713878e-14,24.478118489732996,48.874485196175215,48.874667488685354,0.04085282248703044,2
0.008733695254185374,True,479.65332627059155,38.96273989672033,0.3259395976671037,1.1419255245470284e-16,0.08918936334996577,3.68594044175552e-14,3.730349362740526e-14,0.0,2.5695689459812914e-14,21.42419863624588,42.7552274460834,42.755247830930465,0.04667619278853504,0
0.009583150560066178,True,496.77407235584735,36.89867379891182,0.30904936711582087,2.2681634506062178e-17,0.09321918817852992,1.5987211554602254e-14,1.6209256159527285e-14,0.0,8.288782959086374e-15,20.45481031404907,40.81206838070721,40.81207725107341,0.04888825640242703,1
0.015785294567897512,True,604.91935453173,27.24797267968055,0.22164359062931493,8.968831665461027e-22,0.1179945579795195,2.1760371282653068e-14,2.2648549702353193e-14,0.0,1.649643307922649e-14,15.949934253299297,31.77496705486661,31.774967104050546,0.06269618320568798,2
0.0199400062762662,True,665.8137678378511,23.486846597578676,0.18394760104692978,2.9762125397426637e-24,0.13159061016528767,2.9976021664879227e-15,3.9968028886505635e-15,0.0,5.676605584986928e-16,14.198652833115126,28.257142477655098,28.2571424803301,0.07042921689522569,0
0.021627025056226573,True,688.6141325983842,22.282444318699167,0.17150391737881854,3.473466968552117e-25,0.13664481076841142,9.325873406851315e-15,9.992007221626409e-15,0.0,6.4486358238453e-15,13.636487026131045,27.12709321235007,27.127093213245843,0.07333266977667328,1
0.03726284697897638,True,862.6005581774401,15.469585617697772,0.09897886892442011,1.582647646323418e-32,0.17530149511955312,1.5543122344752192e-15,1.887379141862766e-15,0.0,4.086208709733407e-16,10.408915814642816,20.627445868413606,20.627445868413762,0.09607148504297085,2
0.04552527180370714,True,934.4013757670981,13.467671152669427,0.07764825817751447,8.89671994796501e-36,0.19181464480816832,1.5543122344752192e-15,1.7763568394002505e-15,0.0,5.663074575190408e-16,9.426732546934444,18.64366345155447,18.64366345155448,0.1060812954033789,0
0.04880735305690762,True,959.9043034086991,12.83015421975843,0.07095393706419008,5.507084749550999e-37,0.19786393803789074,3.9968028886505635e-15,4.6629367034256575e-15,0.0,9.647631492115625e-16,9.107956102728533,17.998939522071577,17.99893952207158,0.10979411722246023,1
0.08796286689527039,True,1173.2003459980854,8.513017369889512,0.028836673666745475,4.4790869571184194e-49,0.2558472399366482,2.886579864025407e-15,3.1086244689504383e-15,0.0,2.136595425715259e-15,6.817164650653369,13.347131977888692,13.347131977888695,0.14668855033509523,2
0.10393930393433662,True,1230.8678384706297,7.59736054944623,0.021233133578150848,3.4212179267724306e-53,0.2745883806394806,2.6645352591003757e-15,2.886579864025407e-15,0.0,1.903179994824271e-15,6.283629392264385,12.25683344859253,12.256833448592534,0.15914369508027876,0
0.11014726742251497,True,1250.7544694918297,7.306338526550168,0.018976426244197764,1.0522438431797821e-54,0.28134927358352946,2.220446049250313e-15,2.4424906541753444e-15,0.0,1.1696094637261162e-15,6.108601968386532,11.898341919426079,11.898341919426082,0.16370357819599915,1
0.20764559285554718,True,1475.1225060462448,4.88172196853738,0.004418568172918516,2.4306906197234473e-74,0.36353655772449983,4.440892098500626e-16,7.771561172376096e-16,0.0,3.7662291485454225e-16,4.501509978855185,8.579619249132188,8.57961924913219,0.22214768037775576,2
0.2373050939472844,True,1525.282491345686,4.513863313652635,0.0030599190497735615,2.689267110933491e-79,0.38272906502525905,1.1102230246251565e-15,1.3322676295501878e-15,0.0,7.146087919223927e-16,4.225628735220318,8.003056093386316,8.003056093386318,0.2366511737448845,0
0.2485777195600243,True,1542.8973084803038,4.395145246858488,0.0026781947945794604,4.284700136266029e-81,0.38954519925601544,1.3322676295501878e-15,1.5543122344752192e-15,0.0,3.8764797476377587e-16,4.134192396209118,7.811354506503489,7.8113545065034895,0.2418852109826718,1
0.4901692470263245,True,1792.8442652162623,3.076143275852611,0.0002642311061461195,2.2819314805382116e-112,0.4966941303676112,5.551115123125783e-16,9.992007221626409e-16,0.0,5.245575920575927e-16,3.026622981269717,5.457480229132696,5.457480229132697,0.330401244617684,2
0.5417941575682057,True,1826.0980921415612,2.93270383415564,0.0001760649086423639,7.461154972233496e-118,0.5134366415556298,6.661338147750939e-16,5.551115123125783e-16,0.0,5.26293786186897e-16,2.8953199638037597,5.173490251655694,5.1734902516556955,0.3453849704010739,0
0.560984254149836,True,1837.412997909007,2.8851958101878634,0.0001522437045035658,8.097651651799626e-120,0.519295399397487,1.1102230246251565e-15,1.1102230246251565e-15,0.0,9.592921634073648e-16,2.851372460300056,5.078151055818296,5.078151055818296,0.35070830413181736,1
1.1570960280264686,True,2062.2778665523274,2.114273923682731,4.307284212512211e-06,5.090349479704113e-168,0.6428502963446631,4.440892098500626e-16,4.440892098500626e-16,0.0,3.7053865723758073e-16,2.1111442452034015,3.4485405273957417,3.448540527395742,0.4736767761236765,2
1.2369768566377664,True,2083.442840055068,2.0600309136254675,2.932700554085982e-06,3.2198630696922752e-173,0.654109227109622,4.440892098500626e-16,4.440892098500626e-16,0.0,3.709097029675404e-16,2.057593314862107,3.3288988607406877,3.3288988607406877,0.48600468944807834,0
1.26601585194789,True,2090.843893093494,2.041721634461166,2.559965206778114e-06,4.66955089387684e-175,0.6580051980080405,2.220446049250313e-16,6.661338147750939e-16,0.0,3.6921192339047155e-16,2.039489666729899,3.288405629898615,3.2884056298986164,0.49031873821817,1
2.731446793525014,True,2334.7366921809735,1.5699316049522969,1.4132697747970174e-08,2.1221889440468135e-245,0.778255891847701,5.551115123125783e-16,7.771561172376096e-16,0.0,7.876528614307857e-16,1.5698488388590126,2.233429729595163,2.233429729595163,0.6370040065302168,2
2.8241569653043417,True,2344.697532746378,1.5545324924510184,1.0936227141187815e-08,7.195798192193179e-249,0.782943751056089,4.440892098500626e-16,3.3306690738754696e-16,0.0,3.6833064928486445e-16,1.554461923097618,2.1989110711155666,2.198911071115567,0.6433094211836808,0
2.8571143049502465,True,2348.148311616287,1.549264598215532,9.997777053050537e-09,4.3955907365091586e-250,0.7845605223985105,4.440892098500626e-16,4.440892098500626e-16,0.0,3.694262569819408e-16,1.5491978539599753,2.187106602527441,2.1871066025274413,0.6454953429246333,1
6.447867251418347,True,2590.269687210211,1.2729346014265468,8.987615521633663e-12,0.0,0.8799200844511492,3.3306690738754696e-16,3.3306690738754696e-16,0.0,3.685237475805988e-16,1.2729336849351511,1.574295826893866,1.574295826893866,0.7855868784326686,0
14.72120445239939,False,inf,0.0,2.185392510810765e-15,0.0,0.9399802584657816,2.220446049250313e-16,3.3306690738754696e-16,0.0,4.1923015756993403e-16,1.127704259730266,1.2625873972387542,1.2625873972387545,0.8867573136942734,0
33.610161636263946,False,inf,0.0,2.4278804709026042e-19,0.0,0.9718959479047969,3.3306690738754696e-16,3.3306690738754696e-16,0.0,3.684114800138689e-16,1.0578334587273246,1.1172453462403586,1.1172453462403589,0.9453283895965019,0
76.73577042343668,False,inf,0.0,1.765126718460626e-23,0.0,0.987297242985533,2.220446049250313e-16,2.220446049250313e-16,0.0,4.573623437208436e-16,1.0257323862792416,1.051787440564299,1.051787440564299,0.9749131580288856,0
175.19637442400878,False,inf,0.0,1.0440180526105883e-27,0.0,0.9943563639274291,2.220446049250313e-16,2.220446049250313e-16,0.0,4.579209423488519e-16,1.0113513349485292,1.0227663691244369,1.022766369124437,0.9887760716219287,0
399.9929816556962,False,inf,0.0,5.615786647559634e-32,0.0,0.9975123789869675,2.220446049250313e-16,2.220446049250313e-16,0.0,3.6911681181494313e-16,1.0049876494075367,1.0099876752550945,1.0099876752550945,0.99503710377886,0
